value,value_classification,timestamp
22,Extreme Fear,1783123200
21,Extreme Fear,1783036800
19,Extreme Fear,1782950400
11,Extreme Fear,1782864000
15,Extreme Fear,1782777600
12,Extreme Fear,1782691200
18,Extreme Fear,1782604800
15,Extreme Fear,1782518400
13,Extreme Fear,1782432000
12,Extreme Fear,1782345600
17,Extreme Fear,1782259200
23,Extreme Fear,1782172800
20,Extreme Fear,1782086400
23,Extreme Fear,1782000000
23,Extreme Fear,1781913600
14,Extreme Fear,1781827200
15,Extreme Fear,1781740800
22,Extreme Fear,1781654400
23,Extreme Fear,1781568000
20,Extreme Fear,1781481600
18,Extreme Fear,1781395200
13,Extreme Fear,1781308800
12,Extreme Fear,1781222400
12,Extreme Fear,1781136000
9,Extreme Fear,1781049600
10,Extreme Fear,1780963200
8,Extreme Fear,1780876800
12,Extreme Fear,1780790400
12,Extreme Fear,1780704000
12,Extreme Fear,1780617600
